matricula,empresa,titulo_do_cargo,desc_situacao,sindicato,dias_de_ferias,data_demissao,data_admissao,cargo_admissao,estado_sindicato,valor_sindicato,dias_uteis
26681,1410,ANALISTA DE SUPORTE II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26702,1410,DESENVOLVEDOR II,Trabalhando,SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA,,,,,,,22
26705,1410,DESENVOLVEDOR III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26716,1410,ENTERPRISE AGILE COACH,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26720,1410,DESENVOLVEDOR III,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
26742,1410,DESENVOLVEDOR III,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
26745,1410,GERENTE DE PROJETOS II,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
26781,1410,AGILE COACH II,Férias,SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO,5,,,,Rio de Janeiro,R$ 35.00,21
26787,1410,LIDER DE BPO,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26805,1410,CONSULTOR DE IMPLEMENTACAO III,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
26809,1410,ARQUITETO DE SOFTWARE III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26846,1410,ANALISTA DE SISTEMAS E NEGOCIOS III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26854,1410,ASSISTENTE DE BPO III,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26856,1410,ANALISTA DE EXCELENCIA OPERACIONAL I,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26859,1410,COORDENADOR DE ATRACAO E SELECAO,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26876,1410,ANALISTA DE DADOS III,Trabalhando,SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA,,,,,,,22
26892,1410,DESENVOLVEDOR II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
26910,1410,ASSISTENTE DE BPO III,Férias,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,30,,,,Rio Grande do Sul,R$ 35.00,21
26925,1410,ANALISTA DE DADOS III,Trabalhando,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.,,,,,,,22
26927,1410,ANALISTA DE COMPLIANCE II,Trabalhando,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL,,,,,Rio Grande do Sul,R$ 35.00,21
